"ValueCount","Name","LastWriteTime"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\RestoreUp","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\SecurityBand","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\ShowBand","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\SystemAsterisk","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\SystemExclamation","18/11/2018 18:58:57"
"3","HKEY_CURRENT_USER\AppEvents\EventLabels\SystemExit","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\SystemHand","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\SystemNotification","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\SystemQuestion","18/11/2018 18:58:57"
"3","HKEY_CURRENT_USER\AppEvents\EventLabels\WindowsLogoff","18/11/2018 18:58:57"
"3","HKEY_CURRENT_USER\AppEvents\EventLabels\WindowsLogon","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\EventLabels\WindowsUAC","18/11/2018 18:58:57"
"3","HKEY_CURRENT_USER\AppEvents\EventLabels\WindowsUnlock","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps","18/11/2018 18:58:57"
"2","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\.Default","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\.Default\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\.Default\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\AppGPFault","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\AppGPFault\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\AppGPFault\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\CCSelect","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\CCSelect\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ChangeTheme","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ChangeTheme\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ChangeTheme\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Close","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Close\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Close\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\CriticalBatteryAlarm","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\CriticalBatteryAlarm\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\CriticalBatteryAlarm\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceConnect","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceConnect\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceConnect\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceDisconnect","18/11/2018 18:58:57"
